pattern,n_examples,mean_err_R1,mean_err_R2
futur,88,-0.7954545454545454,-1.2386363636363635
modal,192,-0.4895833333333333,-0.703125
demo,28,0.07142857142857142,0.21428571428571427
deploy,114,-0.8859649122807017,-1.0614035087719298
research,40,-0.7,-0.975
