BaseModel,Scenario,Dataset,StrictAcc,RelaxedAcc,MAE,Cat>=3,F1Macro,TrainTime_s
BERT (Base),zero-shot,Silver test,0.6211279953243717,0.7051431911163063,1.3385447106954997,0.2513150204558738,0.4319639290705706,4287.795683145523
BERT (Base),zero-shot,Gold IEA test,0.15342960288808663,0.5505415162454874,1.9530685920577617,0.33212996389891697,0.09606369481151222,4287.795683145523
BERT (Base),few-shot,Silver test,0.4300116890707189,0.6487434248977206,1.7485388661601402,0.30230859146697836,0.352851250112259,29.051314115524292
BERT (Base),few-shot,Gold IEA test,0.3700361010830325,0.575812274368231,1.644404332129964,0.2833935018050541,0.20790301336812067,29.051314115524292
SciBERT,zero-shot,Silver test,0.6595558153126826,0.7364114552893045,1.2028053769725306,0.2218001168907072,0.5068850060756139,4297.735210895538
SciBERT,zero-shot,Gold IEA test,0.14259927797833935,0.5451263537906137,2.036101083032491,0.351985559566787,0.09161196893971288,4297.735210895538
SciBERT,few-shot,Silver test,0.46668614845119816,0.6776738749269433,1.60812390414962,0.27425482174167154,0.40862092565172836,29.361302614212036
SciBERT,few-shot,Gold IEA test,0.30866425992779783,0.5126353790613718,1.931407942238267,0.34657039711191334,0.16865981520311812,29.361302614212036
