Dataset,Alpha_SVM,Strict,Relaxed,MAE,Catastrophic>=3
Silver test,0.0,0.5588836937463472,0.6417299824663939,1.6608708357685564,0.3227644652250146
Silver test,0.1,0.5515780245470485,0.6415838690824079,1.6567796610169492,0.32261835184102866
Silver test,0.2,0.5094973699590882,0.6434833430742256,1.598188194038574,0.3115137346580947
Silver test,0.3,0.5062828755113968,0.6062244301578025,1.5563997662185856,0.30128579777907655
Silver test,0.4,0.5049678550555231,0.5965809468147282,1.5553769725306839,0.29865575686732904
Silver test,0.5,0.5051139684395091,0.59760374050263,1.5501168907071887,0.2971946230274693
Silver test,0.6,0.5068673290473408,0.6019871420222093,1.5241087083576856,0.2796610169491525
Silver test,0.7,0.5166569257744009,0.6602863822326125,1.5068673290473407,0.28535943892460547
Silver test,0.8,0.5194330800701344,0.6697837521917007,1.5043834015195792,0.2865283459964933
Silver test,0.9,0.5337521917007598,0.6713909994155465,1.5061367621274109,0.2903272939801286
Silver test,1.0,0.5832846288720047,0.6697837521917007,1.516510812390415,0.2923728813559322
Gold IEA,0.0,0.12417218543046357,0.6655629139072847,1.6870860927152318,0.25496688741721857
Gold IEA,0.1,0.12251655629139073,0.6655629139072847,1.6821192052980132,0.25496688741721857
Gold IEA,0.2,0.11092715231788079,0.6456953642384106,1.6572847682119205,0.2367549668874172
Gold IEA,0.3,0.12086092715231789,0.6490066225165563,1.6357615894039734,0.23841059602649006
Gold IEA,0.4,0.12086092715231789,0.6456953642384106,1.630794701986755,0.2367549668874172
Gold IEA,0.5,0.11920529801324503,0.6440397350993378,1.6374172185430464,0.24668874172185432
Gold IEA,0.6,0.12086092715231789,0.652317880794702,1.6341059602649006,0.24668874172185432
Gold IEA,0.7,0.12251655629139073,0.6506622516556292,1.6523178807947019,0.2433774834437086
Gold IEA,0.8,0.12582781456953643,0.6506622516556292,1.650662251655629,0.2433774834437086
Gold IEA,0.9,0.1291390728476821,0.6572847682119205,1.6821192052980132,0.25496688741721857
Gold IEA,1.0,0.12417218543046357,0.6539735099337748,1.716887417218543,0.2632450331125828
