Model,Analyzer,Ngram,Dataset,Train Time (s),Strict,Relaxed,MAE
SVM word,word,"(1, 3)",Silver test,3.5,0.5360900058445354,0.6431911163062537,1.6094389246054939
SVM word,word,"(1, 3)",Gold IEA,3.5,0.1291390728476821,0.5033112582781457,2.0943708609271523
LogReg word,word,"(1, 3)",Silver test,3.41,0.32481005260081824,0.4912331969608416,2.3533021624780828
LogReg word,word,"(1, 3)",Gold IEA,3.41,0.12582781456953643,0.32781456953642385,2.4089403973509933
SVM char5,char_wb,"(5, 5)",Silver test,6.69,0.4766218585622443,0.5945353594389247,1.8085914669783751
SVM char5,char_wb,"(5, 5)",Gold IEA,6.69,0.12417218543046357,0.4718543046357616,2.1672185430463577
LogReg char5,char_wb,"(5, 5)",Silver test,10.18,0.2852133255406195,0.45485096434833433,2.4663939216832262
LogReg char5,char_wb,"(5, 5)",Gold IEA,10.18,0.13079470198675497,0.326158940397351,2.4850993377483444
