Dataset,Model,Strict,Relaxed,MAE,Catastrophic>=3
Silver test,Ordinal_LogReg_CORN,0.46712448860315603,0.6319403857393338,1.5518702513150204,0.2777615429573349
Gold IEA,Ordinal_LogReg_CORN,0.11589403973509933,0.5380794701986755,1.8708609271523178,0.2980132450331126
