Dataset,Model,Strict,Relaxed,MAE,Catastrophic>=3
Silver test,Baseline SVM,0.5360900058445354,0.6431911163062537,1.6094389246054939,0.2982174167153711
Silver test,Two-stage SVM (hard),0.5682349503214494,0.6677381648158971,1.5023378141437755,0.287843366452367
Silver test,Two-stage SVM (soft),0.5832846288720047,0.6697837521917007,1.516510812390415,0.2923728813559322
Gold IEA,Baseline SVM,0.1291390728476821,0.5033112582781457,2.0943708609271523,0.3741721854304636
Gold IEA,Two-stage SVM (hard),0.12748344370860928,0.5678807947019867,1.9420529801324504,0.33112582781456956
Gold IEA,Two-stage SVM (soft),0.12417218543046357,0.6539735099337748,1.716887417218543,0.2632450331125828
